"ENV","N_Parcelas","Media_GY","DP_GY","CV_pct","Qualidade"
"E0262",44,859.5,719.091723658972,83.7,"Alto ruído (>30%)"
"E0239",72,771.9,489.456838618187,63.4,"Alto ruído (>30%)"
"E070",88,1854.6,1144.19183446867,61.7,"Alto ruído (>30%)"
"E0212",72,1351.4,774.709442226442,57.3,"Alto ruído (>30%)"
"E0195",108,675.7,382.140303864963,56.6,"Alto ruído (>30%)"
"E0132",90,1073.5,603.052669318804,56.2,"Alto ruído (>30%)"
"E0135",90,1135.2,571.050172161862,50.3,"Alto ruído (>30%)"
"E014",56,1607.9,791.833657136556,49.2,"Alto ruído (>30%)"
"E0238",75,1462.6,687.15232273335,47,"Alto ruído (>30%)"
"E0152",108,1186.6,506.710678801105,42.7,"Alto ruído (>30%)"
"E0240",72,2125.8,874.756706618845,41.1,"Alto ruído (>30%)"
"E007",58,1633.6,668.684747991165,40.9,"Alto ruído (>30%)"
"E071",86,2246,907.958292481795,40.4,"Alto ruído (>30%)"
"E0149",107,1209.6,476.243138974419,39.4,"Alto ruído (>30%)"
"E069",90,2350.3,917.494695817874,39,"Alto ruído (>30%)"
"E002",60,2150,832.089467158389,38.7,"Alto ruído (>30%)"
"E0264",45,1630.3,611.304708361261,37.5,"Alto ruído (>30%)"
"E0133",82,1594.8,596.683662886925,37.4,"Alto ruído (>30%)"
"E068",88,2697.7,906.677308008116,33.6,"Alto ruído (>30%)"
"E0196",108,1830.4,584.539236282642,31.9,"Alto ruído (>30%)"
"E009",24,2464.8,783.845574113914,31.8,"Alto ruído (>30%)"
"E006",60,2435.4,741.027425592485,30.4,"Alto ruído (>30%)"
"E0134",90,2682.9,798.528433073592,29.8,"Aceitável (15–30%)"
"E005",56,2169.6,632.36048116969,29.1,"Aceitável (15–30%)"
"E008",24,2786.9,811.519613612795,29.1,"Aceitável (15–30%)"
"E0151",108,2642,767.899647618579,29.1,"Aceitável (15–30%)"
"E003",66,2210.6,638.056854924818,28.9,"Aceitável (15–30%)"
"E010",57,1502.6,432.953009310106,28.8,"Aceitável (15–30%)"
"E0153",108,1092.4,307.075047511892,28.1,"Aceitável (15–30%)"
"E0246",33,1673.3,468.018874263279,28,"Aceitável (15–30%)"
"E0263",45,2761.8,772.632127238056,28,"Aceitável (15–30%)"
"E0194",108,2004.6,559.46569807041,27.9,"Aceitável (15–30%)"
"E001",66,3212.4,875.391886934621,27.3,"Aceitável (15–30%)"
"E0197",108,2606.7,691.175212558168,26.5,"Aceitável (15–30%)"
"E0150",108,2449.8,607.587509918017,24.8,"Aceitável (15–30%)"
"E0213",72,3182.5,776.949161786021,24.4,"Aceitável (15–30%)"
"E0247",36,3156.9,751.740752340964,23.8,"Aceitável (15–30%)"
"E004",42,2078.1,435.176313204982,20.9,"Aceitável (15–30%)"
"E011",60,2809.2,555.713442890827,19.8,"Aceitável (15–30%)"
