"Modelo","n","R2","R2adj","RMSE","F_p"
"GY ~ PH_R8",2866,0.003,0.003,975.5,"0"
"PROT ~ OIL",170,0,-0.006,2.5,"0.95"
"NDM ~ FLW_DAYS",2013,0.74,0.74,19.1,"<0.001"
"GY ~ PH_R8+W100G+NDM",1563,0.042,0.04,971.4,"<0.001"
"GY ~ ELEV",2870,0,0,976.6,"0.32"
"FLW_DAYS ~ ELEV",2018,0.62,0.62,14.3,"<0.001"
"PROT ~ ELEV",170,0.242,0.237,2.2,"<0.001"
"OIL ~ ELEV",170,0.284,0.279,0.9,"<0.001"
"GY ~ ELEV + ELEV²",2870,0.016,0.015,969,"<0.001"
"NDM ~ ELEV + ELEV²",2905,0.661,0.66,19.6,"<0.001"
"NDM ~ LAT",2905,0,0,33.6,"0.31"
"NDM ~ FLW_DAYS*ELEV",2013,0.828,0.828,15.6,"<0.001"
"GY ~ NDM*ELEV",2868,0.04,0.039,956.7,"<0.001"
